Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
1824,-0.0741473563057911,-0.088678555
1825,-0.0442098318917286,0.041929325
1826,-0.0108245779854786,0.170942765
1827,0.0135747384207713,0.188022565
1828,0.0209850167410838,0.131412185
1829,0.0119522774832713,0.148559605
1830,-0.0077824637276661,0.195032485
1831,-0.0343346609932911,-0.573736335
1832,-0.0594516043526661,-2.877215915
1833,-0.0750209891182911,-1.332122595
1834,-0.0724780936104786,-0.200904635
1835,-0.0391240408761036,-2.016256475
1836,0.0198929757254588,-1.974806675
1837,0.0638242257254588,-0.540133275
1838,0.0756494698660838,-0.511218275
1839,0.0619677559988963,-0.017944155
1840,0.0395341134207713,0.166919745
1841,0.0067416817801463,0.203405045
1842,-0.0281100272042286,0.209643425
1843,-0.0584375662667286,-0.182123935
1844,-0.0769710623604786,0.040217645
1845,-0.0782191092354786,0.098248465
1846,-0.0658478445870411,-0.438306655
1847,-0.0535077811104786,-0.007897115
1848,-0.0411365164620411,0.168526285
1849,-0.0287652518136036,0.203696925
1850,0.022764534,0.209598645
1851,0.015851508,0.210350545
1852,0.009206082,0.210298385
1853,-0.0075757,-0.032347215
1854,-0.031116514,-0.283328675
1855,-0.051474423,0.057299745
1856,-0.057286471,0.124444125
1857,-0.036991566,-0.799134155
1858,0.001502773,-0.418943315
1859,0.03751102,0.046546285
1860,0.046417955,0.169034305
1861,0.034732064,0.199680125
1862,0.022390675,-1.275597635
1863,0.000853874,-1.169512595
1864,-0.005984328,-0.158446315
1865,-0.021572973,0.136170745
1866,-0.037303492,0.195214545
1867,-0.051754721,0.205479925
1868,-0.02534538,0.201192185
1869,0.010112971,-0.026703995
1870,0.057132154,0.129246565
1871,0.055116644,0.192064385
1872,0.047661569,-0.524987415
1873,0.025354445,-0.687485435
1874,0.001304923,0.001520825
1875,-0.032082211,0.033889305
1876,-0.039056845,0.101886225
1877,-0.037494375,0.167515925
1878,-0.054261158,0.191767045
1879,-0.048501678,0.202593825
1880,-0.014013813,0.091408065
1881,0.018751764,-0.028622675
1882,0.014675779,0.133028885
1883,0.009011997,-0.129553615
1884,0.017078325,-2.200846675
1885,0.004460558,-1.440521975
1886,-0.028703851,-1.319755015
1887,-0.043034635,-0.471039415
1888,-0.050829107,0.054071345
1889,-0.051531654,0.145865065
1890,-0.050516548,-0.006691875
1891,-0.012305071,0.115568085
1892,0.028247109,0.062181565
1893,0.038199668,0.134359785
1894,0.036934567,0.178818045
1895,0.019686004,-0.110463495
1896,-0.001071081,0.048507285
1897,-0.033802122,0.158994925
1898,-0.026491602,0.187442925
1899,-0.042753867,0.197568685
1900,-0.045430714,0.187978945
1901,-0.058086507,0.196920365
1902,-0.054441954,0.159169805
1903,-0.027970623,-0.145980275
1904,0.004944309,0.033842745
1905,0.002713635,0.153668685
1906,0.013977514,0.182801185
1907,0.009228653,-0.187813935
1908,0.005821565,-0.125223915
1909,-0.007041689,0.128699225
1910,-0.033246913,0.186884865
1911,-0.052358015,0.184783565
1912,-0.054660628,-0.478188415
1913,-0.057256727,-0.646824375
1914,-0.046596355,0.030432925
1915,0.005602179,0.172044325
1916,0.024129875,0.194282925
1917,0.073102966,0.187732245
1918,0.0561609,0.130628125
1919,0.017015269,-0.057999255
1920,-0.016762329,0.137908665
1921,-0.028904778,0.187331225
1922,-0.046527713,0.195509965
1923,-0.050681401,0.196600845
1924,-0.039712027,0.014171825
1925,-0.012538524,0.117102845
1926,0.011526384,-0.101796975
1927,0.033406185,0.052338105
1928,0.029398483,0.173957905
1929,0.005541273,0.185935925
1930,-0.004554742,0.190734385
1931,-0.025775129,0.178245985
1932,-0.039075984,0.088250025
1933,-0.047039113,-0.196942915
1934,-0.040291411,0.070428005
1935,-0.008413943,0.174451845
1936,0.05754454,0.191335225
1937,0.07756157,0.185129045
1938,0.066174681,0.187141445
1939,0.050182927,0.192407325
1940,0.031110925,0.193364685
1941,0.015436618,0.193358845
1942,-0.011554789,0.193193025
1943,-0.034868262,0.013248325
1944,-0.036550053,0.062296705
1945,0.00197904,0.157659545
1946,0.043115348,0.183965625
1947,0.075411767,0.083242765
1948,0.090188255,0.115909445
1949,0.072068668,0.176329185
1950,0.034334911,0.188471825
1951,0.006508723,0.162396085
1952,-0.016877884,0.163013705
1953,-0.032801291,0.176208885
1954,-0.042114585,0.184695165
1955,-0.021678672,0.184040745
1956,0.048078139,0.049065685
1957,0.106573959,0.048734865
1958,0.102865678,0.153906485
1959,0.063413634,0.183091965
1960,0.043658868,0.188635265
1961,-0.005878997,0.189412805
1962,-0.029144044,0.189369905
1963,-0.036732639,-0.699035015
1964,-0.039272014,-0.581113335
1965,-0.034838172,0.021935305
1966,-0.009762261,0.136256625
1967,0.017079338,0.166396165
1968,0.024130003,0.068982685
1969,0.03281285,-0.010764675
1970,0.031834201,0.129478465
1971,-0.005628234,0.176134345
1972,0.004960506,0.185551645
1973,-0.024030856,0.180930345
1974,-0.033781094,0.179546145
1975,-0.041644986,0.169186925
1976,-0.044465645,0.169751825
1977,-0.02232616,0.183348785
1978,0.026816113,0.185887145
1979,0.073483534,0.180073905
1980,0.076827632,0.114392685
1981,0.082903467,0.064458005
1982,0.026342154,-0.280036955
1983,0.026578898,-0.771871795
1984,-0.02567994,-0.323265235
1985,-0.044507843,-0.027211475
1986,-0.04373961,-0.028910855
1987,-0.026484807,0.052186505
1988,0.012851632,0.108536705
1989,0.07685668,0.147800145
1990,0.066400612,0.143038725
1991,0.05271223,-0.644162535
1992,0.035751545,-1.979914735
1993,0.001471956,-0.879705515
1994,-0.026552295,-0.103578595
1995,-0.037402097,0.084952665
1996,-0.047152654,0.153739165
1997,-0.03151871,0.176741525
1998,0.012774175,0.179205685
1999,0.047493557,0.183315365
2000,0.083449697,0.184264445
2001,0.061430778,0.178917845
2002,0.075387148,0.185791425
2003,0.011305027,0.169306065
2004,-0.01692784,0.180334925
2005,-0.043584673,0.153463345
2006,-0.04703501,0.135580065
2007,-0.055663159,0.122814945
2008,-0.052082951,0.139921265
2009,-0.052809107,0.110537245
2010,-0.0337681,0.145590425
2011,0.000473006,0.104636105
2012,0.021188185,0.143373245
2013,0.026933096,0.167242585
2014,0.036695087,0.148209545
2015,0.044280947,0.117789165
2016,-0.017718142,0.136687865
2017,-0.039942385,0.162057805
2018,-0.043658658,0.143347865
2019,-0.044559432,0.072266565
2020,-0.035945807,0.038088805
2021,-0.014598998,0.096202805
2022,0.048434208,0.085513605
2023,0.108236511,0.074824404
2024,0.122853708,0.064135204
2025,0.120949022,0.053446003
2026,0.050331624,0.042756802
2027,-0.001205532,0.032067602
2028,-0.01071885,0.021378401
2029,-0.037584089,0.010689201
2030,-0.046433896,0.0
2031,-0.059345069,0.0
2032,-0.055303151,0.0
2033,-0.038003809,0.0
2034,-0.009404131,0.0
2035,0.008984386,0.0
2036,0.0107291,0.0
2037,0.017494271,0.0
2038,0.023141811,0.0
2039,-0.030346913,0.0
2040,-0.052429574,0.0
2041,-0.056973651,0.0
2042,-0.059563135,0.0
2043,-0.052805517,0.0
2044,-0.040681693,0.0
2045,-0.003581266,0.0
2046,0.014279354,0.0
2047,0.013200477,0.0
2048,0.021695033,0.0
2049,0.013456882,0.0
2050,-0.011520725,0.0
2051,-0.014439744,0.0
2052,-0.036947058,0.0
2053,-0.043761494,0.0
2054,-0.050309936,0.0
2055,-0.046892211,0.0
2056,-0.007044613,0.0
2057,0.032483955,0.0
2058,0.036685898,0.0
2059,0.030373687,0.0
2060,0.014257475,0.0
2061,-0.012749452,0.0
2062,-0.028505574,0.0
2063,-0.029614626,0.0
2064,-0.042736239,0.0
2065,-0.047627917,0.0
2066,-0.056494478,0.0
2067,-0.042231782,0.0
2068,-0.024181133,0.0
2069,0.007949405,0.0
2070,0.014898675,0.0
2071,0.023255717,0.0
2072,0.023100151,0.0
2073,-0.004697114,0.0
2074,-0.001119023,0.0
2075,-0.027021894,0.0
2076,-0.040687064,0.0
2077,-0.045593088,0.0
2078,-0.051830031,0.0
2079,-0.01917262,0.0
2080,0.027187462,0.0
2081,0.054600243,0.0
2082,0.074245228,0.0
2083,0.039418779,0.0
2084,-0.006520545,0.0
2085,-0.021471505,0.0
2086,-0.041568051,0.0
2087,-0.05501939,0.0
2088,-0.054031532,0.0
2089,-0.047975661,0.0
2090,-0.03505906,0.0
2091,0.010910268,0.0
2092,0.016373315,0.0
2093,0.022882756,0.0
2094,0.038928835,0.0
2095,0.018803652,0.0
2096,-0.04014343,0.0
2097,-0.055109958,0.0
2098,-0.056878937,0.0
2099,-0.060717664,0.0
2100,-0.042802891,0.0
2101,-0.010930168,0.0
2102,0.026898347,0.0
2103,0.008119045,0.0
2104,0.015471294,0.0
2105,0.009134879,0.0
2106,-0.004018082,0.0
2107,-0.033932612,0.0
2108,-0.045150664,0.0
2109,-0.054496877,0.0
2110,-0.054335015,0.0
2111,-0.047043772,0.0
2112,-0.030473625,0.0
2113,-0.000905701,0.0
2114,0.004081315,0.0
2115,0.011941659,0.0
2116,0.023432623,0.0
2117,-0.011544617,0.0
2118,-0.044828189,0.0
2119,-0.056928346,0.0
2120,-0.058953517,0.0
2121,-0.059570059,0.0
2122,-0.039721156,0.0
2123,-0.003909391,0.0
2124,0.020724643,0.0
2125,0.007650045,0.0
2126,0.015104817,0.0
2127,0.007526266,0.0
2128,-0.008981132,0.0
2129,-0.039587846,0.0
2130,-0.046461122,0.0
2131,-0.052731104,0.0
2132,-0.043416357,0.0
2133,-0.021558825,0.0
2134,0.009541263,0.0
2135,0.016279007,0.0
2136,0.023425633,0.0
2137,0.024566252,0.0
2138,-0.009796026,0.0
2139,-0.004809139,0.0
2140,-0.033571193,0.0
2141,-0.04520551,0.0
2142,-0.052024675,0.0
2143,-0.056733317,0.0
2144,-0.047456269,0.0
2145,-0.034682252,0.0
2146,-0.035174504,0.0
2147,-0.039273569,0.0
2148,-0.037946135,0.0
2149,-0.03806369,0.0
2150,-0.05014645,0.0
2151,-0.055107052,0.0
2152,-0.057267205,0.0
2153,-0.057961532,0.0
2154,-0.054490722,0.0
2155,-0.044142405,0.0
2156,-0.019825415,0.0
2157,0.011385082,0.0
2158,0.023506267,0.0
2159,0.03460307,0.0
2160,0.036060956,0.0
2161,-0.00595576,0.0
2162,0.005888204,0.0
2163,-0.025157175,0.0
2164,-0.035717041,0.0
2165,-0.043797653,0.0
2166,-0.0422776,0.0
2167,-0.021662088,0.0
2168,0.030595679,0.0
2169,0.088919139,0.0
2170,0.077447964,0.0
2171,0.08098639,0.0
2172,0.033032056,0.0
2173,0.034897985,0.0
2174,0.010476871,0.0
2175,-0.022148869,0.0
2176,-0.034448023,0.0
2177,-0.030391578,0.0
2178,-0.015912354,0.0
2179,0.019007271,0.0
2180,0.042541039,0.0
2181,0.049611774,0.0
2182,0.051224618,0.0
2183,0.023647783,0.0
2184,0.014964574,0.0
2185,-0.003959655,0.0
2186,-0.028457533,0.0
2187,-0.038385917,0.0
2188,-0.035320036,0.0
2189,-0.029403612,0.0
2190,-0.001745269,0.0
2191,0.028242818,0.0
2192,0.023820251,0.0
2193,0.029879085,0.0
2194,0.027483903,0.0
2195,-0.008156512,0.0
2196,0.00126662,0.0
2197,-0.027663783,0.0
2198,-0.035466342,0.0
2199,-0.041916308,0.0
2200,-0.044236606,0.0
2201,-0.018197989,0.0
2202,0.026744435,0.0
2203,0.07881979,0.0
2204,0.078309986,0.0
2205,0.082005087,0.0
2206,0.021519222,0.0
2207,0.016093424,0.0
2208,-0.031358894,0.0
2209,-0.047122843,0.0
2210,-0.048691193,0.0
2211,-0.049061162,0.0
2212,-0.034646611,0.0
2213,-0.023588526,0.0
2214,-0.028289687,0.0
2215,-0.036891466,0.0
2216,-0.046252637,0.0
2217,-0.050620794,0.0
2218,-0.05410481,0.0
2219,-0.053256951,0.0
2220,-0.056121627,0.0
2221,-0.056108182,0.0
2222,-0.058364754,0.0
2223,-0.058204003,0.0
2224,-0.056737382,0.0
2225,-0.046611486,0.0
2226,-0.035618715,0.0
2227,-0.033248323,0.0
2228,-0.022673886,0.0
2229,-0.031223752,0.0
2230,-0.026928205,0.0
2231,-0.033354108,0.0
2232,-0.049357836,0.0
2233,-0.057845746,0.0
2234,-0.057755219,0.0
2235,-0.059692214,0.0
2236,-0.050557802,0.0
2237,-0.018048052,0.0
2238,0.019109124,0.0
2239,0.011835575,0.0
2240,0.010833701,0.0
2241,0.015706059,0.0
2242,0.002041997,0.0
2243,-0.031158229,0.0
2244,-0.044391308,0.0
2245,-0.054549748,0.0
2246,-0.054336169,0.0
2247,-0.048066828,0.0
2248,-0.000203927,0.0
2249,0.035377244,0.0
2250,0.038971106,0.0
2251,0.032130912,0.0
2252,0.013503319,0.0
2253,-0.018674256,0.0
2254,-0.0322866,0.0
2255,-0.038599153,0.0
2256,-0.04957569,0.0
2257,-0.055606484,0.0
2258,-0.060861189,0.0
2259,-0.054823207,0.0
2260,-0.046771761,0.0
2261,-0.040253371,0.0
2262,-0.04114239,0.0
2263,-0.04363156,0.0
2264,-0.041528046,0.0
2265,-0.052879417,0.0
2266,-0.05982843,0.0
2267,-0.062122187,0.0
2268,-0.063255144,0.0
2269,-0.063645958,0.0
2270,-0.062982441,0.0
2271,-0.058118521,0.0
2272,-0.049135932,0.0
2273,-0.044709753,0.0
2274,-0.044314182,0.0
2275,-0.040410018,0.0
2276,-0.041114546,0.0
2277,-0.056059714,0.0
2278,-0.062425607,0.0
2279,-0.064326913,0.0
2280,-0.064981012,0.0
2281,-0.064174326,0.0
2282,-0.059429611,0.0
2283,-0.056537904,0.0
2284,-0.054265243,0.0
2285,-0.057017803,0.0
2286,-0.054350744,0.0
2287,-0.057799799,0.0
2288,-0.055866008,0.0
2289,-0.060294097,0.0
2290,-0.063682074,0.0
2291,-0.06363929,0.0
2292,-0.064236575,0.0
2293,-0.062643075,0.0
2294,-0.04939228,0.0
2295,-0.033119244,0.0
2296,-0.002429014,0.0
2297,0.009488307,0.0
2298,0.013968667,0.0
2299,0.023702449,0.0
2300,0.0,0.0
2301,0.0,0.0
2302,0.0,0.0
2303,0.0,0.0
2304,0.0,0.0
2305,0.0,0.0
2306,0.0,0.0
2307,0.0,0.0
2308,0.0,0.0
2309,0.0,0.0
2310,0.0,0.0
2311,0.0,0.0
2312,0.0,0.0
2313,0.0,0.0
2314,0.0,0.0
2315,0.0,0.0
2316,0.0,0.0
2317,0.0,0.0
2318,0.0,0.0
2319,0.0,0.0
2320,0.0,0.0
2321,0.0,0.0
2322,0.0,0.0
2323,0.0,0.0
2324,0.0,0.0
2325,0.0,0.0
2326,0.0,0.0
2327,0.0,0.0
2328,0.0,0.0
2329,0.0,0.0
2330,0.0,0.0
2331,0.0,0.0
2332,0.0,0.0
2333,0.0,0.0
2334,0.0,0.0
2335,0.0,0.0
2336,0.0,0.0
2337,0.0,0.0
2338,0.0,0.0
2339,0.0,0.0
2340,0.0,0.0
2341,0.0,0.0
2342,0.0,0.0
2343,0.0,0.0
2344,0.0,0.0
2345,0.0,0.0
2346,0.0,0.0
2347,0.0,0.0
2348,0.0,0.0
2349,0.0,0.0
2350,0.0,0.0
2351,0.0,0.0
2352,0.0,0.0
2353,0.0,0.0
2354,0.0,0.0
2355,0.0,0.0
2356,0.0,0.0
2357,0.0,0.0
2358,0.0,0.0
2359,0.0,0.0
2360,0.0,0.0
2361,0.0,0.0
2362,0.0,0.0
2363,0.0,0.0
2364,0.0,0.0
2365,0.0,0.0
2366,0.0,0.0
2367,0.0,0.0
2368,0.0,0.0
2369,0.0,0.0
2370,0.0,0.0
2371,0.0,0.0
2372,0.0,0.0
2373,0.0,0.0
2374,0.0,0.0
2375,0.0,0.0
2376,0.0,0.0
2377,0.0,0.0
2378,0.0,0.0
2379,0.0,0.0
2380,0.0,0.0
2381,0.0,0.0
2382,0.0,0.0
2383,0.0,0.0
2384,0.0,0.0
2385,0.0,0.0
2386,0.0,0.0
2387,0.0,0.0
2388,0.0,0.0
2389,0.0,0.0
2390,0.0,0.0
2391,0.0,0.0
2392,0.0,0.0
2393,0.0,0.0
2394,0.0,0.0
2395,0.0,0.0
2396,0.0,0.0
2397,0.0,0.0
2398,0.0,0.0
2399,0.0,0.0
2400,0.0,0.0
2401,0.0,0.0
2402,0.0,0.0
2403,0.0,0.0
2404,0.0,0.0
2405,0.0,0.0
2406,0.0,0.0
2407,0.0,0.0
2408,0.0,0.0
2409,0.0,0.0
2410,0.0,0.0
2411,0.0,0.0
2412,0.0,0.0
2413,0.0,0.0
2414,0.0,0.0
2415,0.0,0.0
2416,0.0,0.0
2417,0.0,0.0
2418,0.0,0.0
2419,0.0,0.0
2420,0.0,0.0
2421,0.0,0.0
2422,0.0,0.0
2423,0.0,0.0
2424,0.0,0.0
2425,0.0,0.0
2426,0.0,0.0
2427,0.0,0.0
2428,0.0,0.0
2429,0.0,0.0
2430,0.0,0.0
2431,0.0,0.0
2432,0.0,0.0
2433,0.0,0.0
2434,0.0,0.0
2435,0.0,0.0
2436,0.0,0.0
2437,0.0,0.0
2438,0.0,0.0
2439,0.0,0.0
2440,0.0,0.0
2441,0.0,0.0
2442,0.0,0.0
2443,0.0,0.0
2444,0.0,0.0
2445,0.0,0.0
2446,0.0,0.0
2447,0.0,0.0
2448,0.0,0.0
2449,0.0,0.0
2450,0.0,0.0
2451,0.0,0.0
2452,0.0,0.0
2453,0.0,0.0
2454,0.0,0.0
2455,0.0,0.0
2456,0.0,0.0
2457,0.0,0.0
2458,0.0,0.0
2459,0.0,0.0
2460,0.0,0.0
2461,0.0,0.0
2462,0.0,0.0
2463,0.0,0.0
2464,0.0,0.0
2465,0.0,0.0
2466,0.0,0.0
2467,0.0,0.0
2468,0.0,0.0
2469,0.0,0.0
2470,0.0,0.0
2471,0.0,0.0
2472,0.0,0.0
2473,0.0,0.0
2474,0.0,0.0
2475,0.0,0.0
2476,0.0,0.0
2477,0.0,0.0
2478,0.0,0.0
2479,0.0,0.0
2480,0.0,0.0
2481,0.0,0.0
2482,0.0,0.0
2483,0.0,0.0
2484,0.0,0.0
2485,0.0,0.0
2486,0.0,0.0
2487,0.0,0.0
2488,0.0,0.0
2489,0.0,0.0
2490,0.0,0.0
2491,0.0,0.0
2492,0.0,0.0
2493,0.0,0.0
2494,0.0,0.0
2495,0.0,0.0
2496,0.0,0.0
2497,0.0,0.0
2498,0.0,0.0
2499,0.0,0.0
2500,0.0,0.0
