idx,Category,Variable,Unit,Definition,Tier,Report when,Report for,,Note,,
16,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C3F8,ppt,atmospheric concentrations of C3F8,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
17,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C4F10,ppt,atmospheric concentrations of C4F10,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
18,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C5F12,ppt,atmospheric concentrations of C5F12,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
19,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C6F14,ppt,atmospheric concentrations of C6F14,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
20,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C7F16,ppt,atmospheric concentrations of C7F16,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
21,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C8F18,ppt,atmospheric concentrations of C8F18,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
22,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|cC4F8,ppt,atmospheric concentrations of c-C4F8,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
23,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|CF4,ppt,atmospheric concentrations of CF4,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
24,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|SF6,ppt,atmospheric concentrations of sulfur hexafluoride (SF6),3,Non-idealised and if emissions-driven,Each ensemble member,,,,
25,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|SO2F2,ppt,atmospheric concentrations of sulfuryl fluoride (SO2F2),3,Non-idealised and if emissions-driven,Each ensemble member,,,,
26,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CCl4,ppt,atmospheric concentrations of CCl4,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
27,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CFC|CFC11,ppt,atmospheric concentrations of CFC11,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
28,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CFC|CFC113,ppt,atmospheric concentrations of CFC113,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
29,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CFC|CFC114,ppt,atmospheric concentrations of CFC114,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
30,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CFC|CFC115,ppt,atmospheric concentrations of CFC115,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
31,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CFC|CFC12,ppt,atmospheric concentrations of CFC12,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
32,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CH2Cl2,ppt,atmospheric concentrations of CH2Cl2,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
33,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CH3Br,ppt,atmospheric concentrations of CH3Br,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
34,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CH3CCl3,ppt,atmospheric concentrations of CH3CCl3,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
35,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CH3Cl,ppt,atmospheric concentrations of CH3Cl,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
36,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|CHCl3,ppt,atmospheric concentrations of CHCl3,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
37,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|Halon1202,ppt,atmospheric concentrations of Halon-1202,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
38,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|Halon1211,ppt,atmospheric concentrations of Halon-1211,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
39,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|Halon1301,ppt,atmospheric concentrations of Halon-1301,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
40,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|Halon2402,ppt,atmospheric concentrations of Halon-2402,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
41,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|HCFC141b,ppt,atmospheric concentrations of HCFC141b,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
42,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|HCFC142b,ppt,atmospheric concentrations of HCFC22,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
43,Atmospheric Concentrations,Atmospheric Concentrations|Montreal Gases|HCFC22,ppt,atmospheric concentrations of HCFC22,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
44,Atmospheric Concentrations,Atmospheric Concentrations|N2O,ppb,atmospheric concentrations of N2O,1,Non-idealised and if emissions-driven,Each ensemble member,,,,
45,Methane Cycle,Atmospheric Lifetime|CH4,yr,total atmospheric lifetime of methane,2,Non-idealised,Each ensemble member,,,,
46,Nitrogen Cycle,Atmospheric Lifetime|N2O,yr,total atmospheric lifetime of nitrogen,2,Non-idealised,Each ensemble member,,,,
47,Carbon Cycle,Carbon Flux|Land|Autotrophic Respiration,Mt CO2/yr,"CO2 flux associated to vegetation respiration, transporting carbon from the vegetation carbon pool to the atmosphere pool. A positive value indicates a loss of vegetation carbon from this flux.",2,Always,Each ensemble member,,,,
48,Carbon Cycle,Carbon Flux|Land|Decomposition,Mt CO2/yr,"CO2 flux associated to litter decomposition, transporting carbon from the litter carbon pool to the soil pool. A positive value indicates a loss of the litter carbon pool from this flux.",2,Always,Each ensemble member,,,,
49,Carbon Cycle,Carbon Flux|Land|Gross Primary Production,Mt CO2/yr,"CO2 flux associated with Gross Primary Production, transporting carbon mainly from the atmosphere to the vegetation carbon pool. A positive value indicates a gain of vegetation carbon from this flux.",2,Always,Each ensemble member,,,,
50,Carbon Cycle,Carbon Flux|Land|Gross Primary Production|Litter,Mt CO2/yr,"CO2 flux associated with Gross Primary Production, transporting carbon exclusively from the atmosphere to the litter carbon pool. A positive value indicates a gain of litter carbon from this flux.",3,Always,Each ensemble member,,Only report if GPP transports carbon to a different pool than vegetation,,
51,Carbon Cycle,Carbon Flux|Land|Gross Primary Production|Soil,Mt CO2/yr,"CO2 Primary Production carbon flux, transporting carbon exclusively from the atmosphere to the soil carbon pool. A positive value indicates a gain of soil carbon from this flux.",3,Always,Each ensemble member,,Only report if GPP transports carbon to a different pool than vegetation,,
52,Carbon Cycle,Carbon Flux|Land|Gross Primary Production|Vegetation,Mt CO2/yr,"CO2 flux associated with Gross Primary Production, transporting carbon exclusively from the atmosphere to the vegetation carbon pool. A positive value indicates a gain of vegetation carbon from this flux.",3,Always,Each ensemble member,,Only report if GPP transports carbon to a different pool than vegetation,,
53,Carbon Cycle,Carbon Flux|Land|Heterotrophic Respiration|Litter,Mt CO2/yr,"CO2 flux associated to the respiration of the litter carbon pool, transporting carbon from the litter carbon pool to the atmosphere pool. A positive value indicates a loss of the litter carbon pool from this flux.",2,Always,Each ensemble member,,,,
54,Carbon Cycle,Carbon Flux|Land|Heterotrophic Respiration|Soil,Mt CO2/yr,"CO2 flux associated to the respiration of the soil carbon pool, transporting carbon from the soil carbon pool to the atmosphere pool. A positive value indicates a loss of the soil carbon pool from this flux.",2,Always,Each ensemble member,,,,
55,Carbon Cycle,Carbon Flux|Land|Litterfall,Mt CO2/yr,"CO2 flux associated to litterfall, transporting carbon from the vegetation carbon pool to the litter and soil pools. A positive value indicates a loss of the vegetation carbon pool from this flux.",2,Always,Each ensemble member,,,,
56,Carbon Cycle,Carbon Flux|Land|Litterfall|Litter,Mt CO2/yr,"CO2 flux associated to litterfall, transporting carbon from the vegetation carbon pool to the litter pool. A positive value indicates a loss of the vegetation carbon pool from this flux.",3,Always,Each ensemble member,,Only report if litterfall transports carbon to a different pool than litter,,
57,Carbon Cycle,Carbon Flux|Land|Litterfall|Soil,Mt CO2/yr,"CO2 flux associated to litterfall, transporting carbon from the vegetation carbon pool to the soil pool. A positive value indicates a loss of the vegetation carbon pool from this flux.",3,Always,Each ensemble member,,Only report if litterfall transports carbon to a different pool than litter,,
58,Carbon Cycle,Carbon Flux|Land|Loss to Ocean,Mt CO2/yr,CO2 flux associated to riverine export to the ocean or any other processes transporting carbon from the land to the ocean carbon pools. A positive value indicates a loss of the land carbon pool from this flux.,2,Always,Each ensemble member,,,,
59,Carbon Cycle,Carbon Flux|Land|Net Primary Production,Mt CO2/yr,"CO2 flux associated with Net Primary Production, transporting carbon mainly from the atmosphere to the vegetation carbon pool. A positive value indicates a gain of vegetation carbon from this flux.",2,Always,Each ensemble member,,,,
60,Carbon Cycle,Carbon Flux|Land|Net Primary Production|Litter,Mt CO2/yr,"CO2 flux associated with Net Primary Production, transporting carbon exclusively from the atmosphere to the litter carbon pool. A positive value indicates a gain of litter carbon from this flux.",3,Always,Each ensemble member,,Only report if NPP transports carbon to a different pool than vegetation,,
61,Carbon Cycle,Carbon Flux|Land|Net Primary Production|Vegetation,Mt CO2/yr,"CO2 flux associated with Net Primary Production, transporting carbon exclusively from the atmosphere to the vegetation carbon pool. A positive value indicates a gain of vegetation carbon from this flux.",3,Always,Each ensemble member,,Only report if NPP transports carbon to a different pool than vegetation,,
62,Carbon Cycle,Carbon Flux|Land|Net Primary Production|Soil,Mt CO2/yr,"CO2 flux associated with Net Primary Production, transporting carbon exclusively from the atmosphere to the soil carbon pool. A positive value indicates a gain of soil carbon from this flux.",3,Always,Each ensemble member,,Only report if NPP transports carbon to a different pool than vegetation,,
63,Carbon Cycle,Carbon Flux|Land|Other,Mt CO2/yr,"Net contribution from any remaining CO2 fluxes between the vegetation and atmosphere carbon pools (e.g., fire, harvesting, grazing, etc...) A positive value indicates a loss of the vegetation carbon pool from this flux. Please provide a definition of other sources in this category in the 'comments' tab.",2,Always,Each ensemble member,,,,
64,Carbon Cycle,Carbon Flux|Land|Product Decomposition,Mt CO2/yr,"CO2 flux associated to decomposition of the product pool, transporting carbon from the product carbon pool to the atmosphere pool. A positive value indicates a loss of the product carbon pool from this flux.",2,Always,Each ensemble member,,,,
65,Carbon Cycle,Carbon Flux|Land|Product Production,Mt CO2/yr,"CO2 flux associated to the transport of carbon to the product pool (e.g. harvesting), transporting carbon from the vegetation carbon pool to the product pool. A positive value indicates a loss of the vegetation carbon pool from this flux.",2,Always,Each ensemble member,,,,
66,Carbon Cycle,Carbon Flux|Ocean|Net surface to deep,Mt CO2/yr,Net transport of CO2 from the ocean mixed layer towards deeper ocean carbon pools,2,Always,Each ensemble member,,,,
67,Carbon Cycle,Carbon Flux|Ocean|Net surface to deep|Inorganic,Mt CO2/yr,Net transport of inorganic (DIC + PIC) CO2 from the ocean mixed layer towards deeper ocean carbon pools,3,Always,Each ensemble member,,,,
68,Carbon Cycle,Carbon Flux|Ocean|Net surface to deep|Organic,Mt CO2/yr,Net transport of organic (DIC + PIC) CO2 from the ocean mixed layer towards deeper ocean carbon pools,3,Always,Each ensemble member,,,,
69,Carbon Cycle ,Carbon Pool|Atmosphere,Mt CO2,Total amount of CO2 in the atmospheric carbon pool,1,Always,Each ensemble member,,,,
70,Carbon Cycle,Carbon Pool|Land,Mt CO2,Total amount of CO2 in the land carbon pool,1,Always,Each ensemble member,,,,
71,Carbon Cycle,Carbon Pool|Land|Litter,Mt CO2,Total amount of CO2 in the detritus carbon pool,1,Always,Each ensemble member,,,,
72,Carbon Cycle,Carbon Pool|Land|Soil,Mt CO2,Total amount of CO2 in the soil carbon pool,1,Always,Each ensemble member,,,,
73,Carbon Cycle,Carbon Pool|Land|Vegetation,Mt CO2,Total amount of CO2 in the plant carbon pool,1,Always,Each ensemble member,,,,
74,Carbon Cycle,Carbon Pool|Land|Wood Products,Mt CO2,Total amount of CO2 in the product pool,1,Always,Each ensemble member,,,,
75,Carbon Cycle ,Carbon Pool|Ocean,Mt CO2,Total amount of CO2 in the ocean carbon pool,1,Always,Each ensemble member,,,,
76,Carbon Cycle,Carbon Pool|Ocean|Deep,Mt CO2,Total amount of CO2 in the deeper ocean carbon pool(s),2,Always,Each ensemble member,,,,
77,Carbon Cycle,Carbon Pool|Ocean|Deep|Inorganic,Mt CO2,Total amount of inorganic (DIC + PIC) CO2 in the deeper ocean carbon pool(s),3,Always,Each ensemble member,,,,
78,Carbon Cycle,Carbon Pool|Ocean|Deep|Organic,Mt CO2,Total amount of organic (DOC + POC) CO2 in the deeper ocean carbon pool(s),3,Always,Each ensemble member,,,,
79,Carbon Cycle,Carbon Pool|Ocean|Surface,Mt CO2,Total amount of CO2 in the ocean mixed layer carbon pool,2,Always,Each ensemble member,,,,
80,Carbon Cycle,Carbon Pool|Ocean|Surface|Inorganic,Mt CO2,Total amount of inorganic (DIC + PIC) CO2 in the ocean mixed layer carbon pool,3,Always,Each ensemble member,,,,
81,Carbon Cycle,Carbon Pool|Ocean|Surface|Organic,Mt CO2,Total amount of organic (DOC + POC) CO2 in the ocean mixed layer carbon pool,3,Always,Each ensemble member,,,,
82,CCS,Carbon Sequestration,Mt C/yr,Total carbon flux being captured and stored,2,Always,Each ensemble member,,,,
83,Effective Radiative Forcing,Effective Radiative Forcing,W/m^2,effective radiative forcing from all anthropogenic and natural sources (after stratospheric temperature adjustments and rapid adjustments) ,1,Always,Each ensemble member,,,,
84,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic,W/m^2,effective radiative forcing from all anthropogenic sources (after stratospheric temperature adjustments and rapid adjustments) ,1,Always,Each ensemble member,,,,
85,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol,W/m^2,effective radiative forcing from aerosols (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,,,,
86,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-cloud Interactions,W/m^2,effective radiative forcing from indirect effects of aerosols on clouds (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,,,,
87,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions,W/m^2,"effective radiative forcing from aerosol-radiative effects (after stratospheric temperature adjustments and rapid adjustments), note that the breakdown of this variable can come in multiple different forms",1,Non-idealised,Each ensemble member,,,,
88,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|BC,W/m^2,effective radiative forcing from aerosol-radiative effects from black carbon emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
89,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning,W/m^2,effective radiative forcing from aerosol-radiative effects from biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
90,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning|BC,W/m^2,effective radiative forcing from aerosol-radiative effects from black carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
91,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning|NH3,W/m^2,effective radiative forcing from aerosol-radiative effects from ammonia biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
92,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning|Nitrate,W/m^2,effective radiative forcing from aerosol-radiative effects from nitrate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
93,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning|OC,W/m^2,effective radiative forcing from aerosol-radiative effects from organic carbon biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
94,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Biomass Burning|Sulfate,W/m^2,effective radiative forcing from aerosol-radiative effects from sulfate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
95,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial,W/m^2,effective radiative forcing from aerosol-radiative effects from fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
96,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial|BC,W/m^2,effective radiative forcing from aerosol-radiative effects from black carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
97,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial|NH3,W/m^2,effective radiative forcing from aerosol-radiative effects from ammonia fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
98,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial|Nitrate,W/m^2,effective radiative forcing from aerosol-radiative effects from nitrate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
99,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial|OC,W/m^2,effective radiative forcing from aerosol-radiative effects from organic carbon fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
100,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Fossil and Industrial|Sulfate,W/m^2,effective radiative forcing from aerosol-radiative effects from sulfate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
101,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Mineral Dust,W/m^2,effective radiative forcing from aerosol-radiative effects from mineral dust emissions (after stratospheric temperature adjustments and rapid adjustments) ,2,Non-idealised,Each ensemble member,,,,
102,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|NH3,W/m^2,effective radiative forcing from aerosol-radiative effects from ammonia emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
103,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|NH3|Biomass Burning,W/m^2,effective radiative forcing from aerosol-radiative effects from ammonia biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
104,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|NH3|Fossil and Industrial,W/m^2,effective radiative forcing from aerosol-radiative effects from ammonia fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
105,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Nitrate,W/m^2,effective radiative forcing from aerosol-radiative effects from nitrate precursor emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
106,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Nitrate|Biomass Burning,W/m^2,effective radiative forcing from aerosol-radiative effects from nitrate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
107,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Nitrate|Fossil and Industrial,W/m^2,effective radiative forcing from aerosol-radiative effects from nitrate fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
108,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|OC,W/m^2,effective radiative forcing from aerosol-radiative effects from organic carbon emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
109,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Other,W/m^2,effective radiative forcing from aerosol-radiative effects not covered in the other categories (after stratospheric temperature adjustments and rapid adjustments) (please specify in comments),2,Non-idealised,Each ensemble member,,,,
110,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Sulfate,W/m^2,effective radiative forcing from aerosol-radiative effects from sulfate precursor emissions (after stratospheric temperature adjustments and rapid adjustments),2,Non-idealised,Each ensemble member,,,,
111,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Sulfate|Biomass Burning,W/m^2,effective radiative forcing from aerosol-radiative effects from sulfate precursor biomass burning emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
112,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Aerosol|Aerosol-radiation Interactions|Sulfate|Fossil and Industrial,W/m^2,effective radiative forcing from aerosol-radiative effects from sulfate precursor fossil and industrial emissions (after stratospheric temperature adjustments and rapid adjustments),3,Non-idealised,Each ensemble member,,,,
113,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Albedo Change,W/m^2,effective radiative forcing from albedo change (after stratospheric temperature adjustments and rapid adjustments) ,1,If different from prescribed,Each ensemble member,,,,
114,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|CH4,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH4,1,Non-idealised,Each ensemble member,,,,
115,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|CO2,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CO2,1,Always,Each ensemble member,,,,
116,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of F-gases,1,Non-idealised,Each ensemble member,,,,
117,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC,W/m^2,"effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of hydrofluorocarbons (HFCs, as defined by Table 8.A.1 of AR5) not controlled under the Montreal protocol",2,Non-idealised,Each ensemble member,,,,
118,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC125,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC125,3,Non-idealised,Each ensemble member,,,,
119,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC134a,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC134a,3,Non-idealised,Each ensemble member,,,,
120,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC143a,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC143a,3,Non-idealised,Each ensemble member,,,,
121,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC152a,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC152a,3,Non-idealised,Each ensemble member,,,,
122,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC227ea,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC227ea,3,Non-idealised,Each ensemble member,,,,
123,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC23,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC23,3,Non-idealised,Each ensemble member,,,,
124,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC236fa,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC236fa,3,Non-idealised,Each ensemble member,,,,
125,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC245fa,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC245fa,3,Non-idealised,Each ensemble member,,,,
